grau_medio,assortatividade,coef_clusterizacao,transitividade,entropy,Rede Social,Iteracao
2.0,-0.20750557535909742,0.0,0.0,1.8861637096005646,twitter-pequeno,1
2.0,-0.19443554557505577,0.00022311877254110887,0.0002565637560933892,1.8824622956247468,twitter-pequeno,2
2.0,-0.20050893046242008,6.418485237483954e-05,8.587622373618824e-05,1.8793295066798772,twitter-pequeno,3
2.0,-0.19744546377042596,0.0,0.0,1.8853609056743865,twitter-pequeno,4
2.0,-0.18903038850980042,0.00010269576379974325,0.00017143836790673754,1.8802430594537354,twitter-pequeno,5
2.0,-0.20376886537926414,0.0,0.0,1.8793837386932133,twitter-pequeno,6
2.0,-0.19549279745539105,0.0,0.0,1.8835189620615305,twitter-pequeno,7
2.0,-0.2009787448146166,0.0,0.0,1.8789736108271022,twitter-pequeno,8
2.0,-0.1867528149622043,0.0,0.0,1.878310707474835,twitter-pequeno,9
2.0,-0.20262544265344978,0.0,0.0,1.8808654448949877,twitter-pequeno,10
2.0,-0.17932244132336292,0.0,0.0,1.8732603008034474,facebook,1
2.0,-0.22214500571715182,0.0,0.0,1.8756113837863633,facebook,2
2.0,-0.19980034192059304,0.0,0.0,1.8690078700764186,facebook,3
2.0,-0.23269880428714804,0.0,0.0,1.8848901997065615,facebook,4
2.0,-0.2012772496665875,0.0,0.0,1.8875051781409538,facebook,5
2.0,-0.1889271409495645,0.0,0.0,1.8851511280120188,facebook,6
2.0,-0.1872729830187508,0.0002885503231763619,0.000686655985351339,1.8876783940438584,facebook,7
2.0,-0.1886664081421306,0.0007502308402585412,0.0006963788300835655,1.8741684672890924,facebook,8
2.0,-0.21722954106866377,0.0,0.0,1.8894210199494534,facebook,9
2.0,-0.20375837953608011,0.0007156048014773775,0.000690766751093714,1.8852126357344339,facebook,10
12.0,-0.035138839256313656,0.004525999909634126,0.00456422127822061,3.3184854568798356,hamster,1
12.0,-0.04393755605752225,0.004567182238737049,0.004414694111946593,3.296355714350514,hamster,2
12.0,-0.031297060638618084,0.004459492948935249,0.0044806882337126985,3.3135353576868196,hamster,3
12.0,-0.04329686501492233,0.004533361855675089,0.004559352356562895,3.284115614972873,hamster,4
12.0,-0.04210476309585773,0.0047666928025418285,0.004688478630439321,3.33386017479184,hamster,5
12.0,-0.031915878187452916,0.004353132954724594,0.004432003732213669,3.2882512798982395,hamster,6
12.0,-0.039223720339414715,0.005022821874089452,0.004935509344564359,3.2874276557579893,hamster,7
12.0,-0.03687808558563816,0.00475956397592875,0.004565610508662723,3.3278567600666964,hamster,8
12.0,-0.030745829046310468,0.004434948061112251,0.004318428880314415,3.318680370355378,hamster,9
12.0,-0.03847535414622334,0.004322005510497574,0.004258593232773274,3.3356400104402235,hamster,10
